0.0	0.0
0.01	0.0
0.02	0.0
0.03	0.0
0.04	0.0
0.05	0.0
0.06	0.0
0.07	0.0
0.08	0.0
0.09	0.0
0.1	0.0
0.11	0.0
0.12	0.0
0.13	0.0
0.14	0.0
0.15	0.0
0.16	0.0
0.17	0.0
0.18	0.0
0.19	0.0
0.2	0.0
0.21	0.0
0.22	0.0
0.23	0.0
0.24	0.0
0.25	412.91766
0.26	415.30966
0.27	415.30966
0.28	415.30966
0.29	415.30966
0.3	415.30966
0.31	415.30966
0.32	415.30966
0.33	415.30966
0.34	415.30966
0.35	415.30966
0.36	415.30966
0.37	415.30966
0.38	415.30966
0.39	415.30966
0.4	415.30966
0.41	415.30966
0.42	415.30966
0.43	415.30966
0.44	415.30966
0.45	415.30966
0.46	415.30966
0.47	415.30966
0.48	415.30966
0.49	415.30966
0.5	415.30966
0.51	415.30966
0.52	415.30966
0.53	415.30966
0.54	415.30966
0.55	415.30966
0.56	415.30966
0.57	415.30966
0.58	415.30966
0.59	415.30966
0.6	415.30966
0.61	415.30966
0.62	415.30966
0.63	415.30966
0.64	415.30966
0.65	415.30966
0.66	415.30966
0.67	415.30966
0.68	415.30966
0.69	415.30966
0.7	415.30966
0.71	415.30966
0.72	415.30966
0.73	415.30966
0.74	415.30966
0.75	415.30966
0.76	415.30966
0.77	415.30966
0.78	415.30966
0.79	415.30966
0.8	415.30966
0.81	415.30966
0.82	415.30966
0.83	415.30966
0.84	415.30966
0.85	415.30966
0.86	415.30966
0.87	415.30966
0.88	415.30966
0.89	415.30966
0.9	415.30966
0.91	415.30966
0.92	415.30966
0.93	415.30966
0.94	415.30966
0.95	415.30966
0.96	415.30966
0.97	415.30966
0.98	415.30966
0.99	415.30966
1.0	415.30966
1.01	415.30966
1.02	415.30966
1.03	415.30966
1.04	415.30966
1.05	415.30966
1.06	415.30966
1.07	415.30966
1.08	415.30966
1.09	415.30966
1.1	415.30966
1.11	415.30966
1.12	415.30966
1.13	415.30966
1.14	415.30966
1.15	415.30966
1.16	415.30966
1.17	415.30966
1.18	415.30966
1.19	415.30966
1.2	415.30966
1.21	415.30966
1.22	415.30966
1.23	415.30966
1.24	415.30966
1.25	415.30966
1.26	415.30966
1.27	415.30966
1.28	415.30966
1.29	415.30966
1.3	415.30966
1.31	415.30966
1.32	415.30966
1.33	415.30966
1.34	415.30966
1.35	415.30966
1.36	415.30966
1.37	415.30966
1.38	415.30966
1.39	415.30966
1.4	415.30966
1.41	415.30966
1.42	415.30966
1.43	415.30966
1.44	415.30966
1.45	415.30966
1.46	415.30966
1.47	415.30966
1.48	415.30966
1.49	415.30966
1.5	415.30966
1.51	415.30966
1.52	415.30966
1.53	415.30966
1.54	415.30966
1.55	415.30966
